datetime,wind_speed,value
2010102314,11,63
2010102315,10.7,66
2010102316,10.3,66
2010102317,10,80
2010102318,9.5,89
2010102319,8.9,96
2010102320,8.6,96
2010102321,8.7,96
2010102322,8.7,90
2010102323,8.5,81
201010240,8.4,81
201010241,8.1,67
201010242,7.4,65
201010243,6.6,68
201010244,5.8,68
201010245,4.9,84
201010246,3.9,96
201010247,3.3,107
201010248,2.8,107
201010249,2.6,116
2010102410,2.4,114
2010102411,2.5,106
2010102412,2.6,106
2010102413,2.7,90
2010102414,2.9,85
2010102415,3.2,84
2010102416,3.6,84
2010102417,4,93
2010102418,4.4,102
2010102419,4.9,109
2010102420,5.1,109
2010102421,5.4,112
2010102422,5.6,107
2010102423,5.8,98
201010250,6.1,98
201010251,6.5,79
201010252,6.6,73
201010253,6.2,72
201010254,6.3,72
201010255,6.5,84
201010256,6.3,94
201010257,6.1,105
201010258,6.1,105
201010259,6.2,115
2010102510,6.1,113
2010102511,5.9,106
2010102512,5.7,106
2010102513,5.7,88
2010102514,5.8,80
2010102515,6.2,76
2010102516,6.4,76
2010102517,6.4,81
2010102518,6.4,89
2010102519,6.7,97
2010102520,6.9,97
2010102521,6.7,104
2010102522,6.7,102
2010102523,6.6,94
201010260,7.1,94
201010261,7.6,76
201010262,7.5,68
201010263,7.6,64
201010264,7.5,64
201010265,7.4,73
201010266,7.3,83
201010267,7.3,95
201010268,7.2,95
201010269,7.2,111
2010102610,7.2,113
2010102611,7.1,109
2010102612,7.1,109
2010102613,6.9,93
2010102614,6.6,83
2010102615,6.3,78
2010102616,6.1,78
2010102617,6,80
2010102618,5.7,88
2010102619,5.5,97
2010102620,5.4,97
2010102621,5.3,110
2010102622,5.2,111
2010102623,5.1,106
201010270,5.2,106
201010271,5.4,90
201010272,5.6,80
201010273,5.8,74
201010274,5.7,74
201010275,5.8,78
201010276,5.8,86
201010277,5.7,97
201010278,5.8,97
201010279,6,114
2010102710,6.2,118
2010102711,6.5,116
2010102712,6.7,116
2010102713,6.9,101
